Batch_ID,Time_Minutes,Phase,Temperature_C,Pressure_Bar,Humidity_Percent,Motor_Speed_RPM,Compression_Force_kN,Flow_Rate_LPM,Power_Consumption_kW,Vibration_mm_s
T006,0,Preparation,25.19902518,0.894345793,42.04253981,0,0,0,2.667533312,0.113961156
T006,1,Preparation,24.58442737,1.140677601,46.69408066,0,0,0,2.146637537,0.094687874
T006,2,Preparation,24.27602394,1.107476294,45.47015449,0,0,0,2.345034134,0.108049489
T006,3,Preparation,24.54310453,1.004972404,43.15099172,0,0,0,2.404821125,0.093207123
T006,4,Preparation,23.34927877,1.019964109,49.98484068,0,0,0,2.513343842,0.052692942
T006,5,Preparation,27.59423963,1.015280507,46.85784702,0,0,0,1.999730019,0.118027407
T006,6,Preparation,22.789416,1.056068206,42.43228908,0,0,0,1.499724672,0.10272062
T006,7,Preparation,26.19415256,0.949018954,44.77763465,0,0,0,1.889095717,0.114511297
T006,8,Preparation,25.49426386,1.019671938,44.12630493,0,0,0,1.075513317,0.127301542
T006,9,Preparation,24.38007142,1.026443069,42.35070304,0,0,0,1.662398288,0.045822784
T006,10,Preparation,24.32760813,1.045820139,46.22593738,0,0,0,2.611329856,0.164074076
T006,11,Preparation,23.09800208,1.014114347,44.05593215,0,0,0,1.280029633,0.166079614
T006,12,Preparation,24.56090255,1.251660919,45.62965225,0,0,0,1.7219184,0.110342568
T006,13,Preparation,25.4456221,0.923125061,45.07772357,0,0,0,1.638996007,0.149763864
T006,14,Preparation,25.1659465,0.870765644,44.71944083,0,0,0,1.136030593,0.100353342
T006,15,Preparation,24.01457618,0.888473326,49.13125296,0,0,0,2.493097219,0.064261445
T006,16,Preparation,23.57990283,1.088028882,46.73463122,0,0,0,2.209389986,0.012019491
T006,17,Preparation,23.05642575,0.910471838,40.28983317,0,0,0,1.975951813,-0.029245197
T006,18,Preparation,24.12322204,0.99766284,50.49011686,0,0,0,1.595196133,0.131590251
T006,19,Preparation,23.82612105,1.024962254,46.38235394,0,0,0,2.423492294,0.091081335
T006,20,Preparation,26.90055601,1.127761694,43.8101729,0,0,0,3.085980411,0.210862822
T006,21,Preparation,26.61065252,1.019728852,42.24088651,0,0,0,2.564153631,0.129908786
T006,22,Preparation,22.22942102,1.114438695,46.57739804,0,0,0,2.968427667,0.042593411
T006,23,Preparation,25.0840912,0.971959546,46.85091398,0,0,0,1.206313495,0.062326099
T006,24,Granulation,61.51366497,1.298229875,53.69656792,146.9311604,0,4.911709406,15.13562695,2.824896009
T006,25,Granulation,62.3990976,1.463567913,55.63322432,143.9543621,0,4.13417807,12.38264163,2.503716744
T006,26,Granulation,63.42279532,1.220017213,54.21009686,147.9855889,0,4.703447656,14.25564243,2.581170568
T006,27,Granulation,63.13170294,1.274604259,53.40897753,145.599625,0,5.457170497,13.23206088,3.149450541
T006,28,Granulation,60.49181416,1.072952956,53.29223979,167.1587232,0,4.848954759,17.67985426,2.242645543
T006,29,Granulation,61.47320611,1.283759962,55.66634258,139.3111519,0,5.605919711,16.39780461,2.69812635
T006,30,Granulation,60.66035458,1.173227087,58.72119688,153.725689,0,5.133959848,11.29993771,2.045480891
T006,31,Granulation,64.40090138,1.118645421,45.77602539,136.7311096,0,3.75696108,14.13921869,2.6684283
T006,32,Granulation,63.26829756,1.212035448,61.80214366,145.4283045,0,4.803519086,13.23051584,2.979084239
T006,33,Granulation,60.21968492,1.205039723,53.38868305,144.4294732,0,4.950819152,19.15446741,2.513067179
